Title	Authors	Pdf	Presentation	Notes
A Source-side Decoding Sequence Model for Statistical Machine Translation	Minwei Feng and Arne Mauser and Hermann Ney	https://aclanthology.org/www.mt-archive.info/10/AMTA-2010-Feng.pdf		MT Research Program Papers: Oral and Poster Presentations
Supertags as Source Language Context in Hierarchical Phrase-Based SMT	Rejwanul Haque and Sudip Naskar and van den Bosch, Antal and Andy Way	https://aclanthology.org/www.mt-archive.info/10/AMTA-2010-Haque.pdf		MT Research Program Papers: Oral and Poster Presentations
Translating Structured Documents	George Foster and Pierre Isabelle and Roland Kuhn	https://aclanthology.org/www.mt-archive.info/10/AMTA-2010-Foster.pdf		MT Research Program Papers: Oral and Poster Presentations
Extending the Hierarchical Phrase Based Model with Maximum Entropy Based BTG	Zhongjun He and Yao Meng and Hao Yu	https://aclanthology.org/www.mt-archive.info/10/AMTA-2010-He-1.pdf		MT Research Program Papers: Oral and Poster Presentations
Transferring Syntactic Relations of Subject-Verb-Object Pattern in Chinese-to-Korean SMT	Jin-Ji Li and Jungi Kim and Jong-Hyeok Lee	https://aclanthology.org/www.mt-archive.info/10/AMTA-2010-Li-1.pdf		MT Research Program Papers: Oral and Poster Presentations
Improving the Post-Editing Experience using Translation Recommendation: A User Study	Yifan He and Yanjun Ma and Johann Roturier and Andy Way and van Genabith, Josef	https://aclanthology.org/www.mt-archive.info/10/AMTA-2010-He-2.pdf		MT Research Program Papers: Oral and Poster Presentations
Accuracy-Based Scoring for Phrase-Based Statistical Machine Translation	Sergio Penkale and Yanjun May and Daniel Galron and Andy Way	https://aclanthology.org/www.mt-archive.info/10/AMTA-2010-Penkale.pdf		MT Research Program Papers: Oral and Poster Presentations
Improving Reordering in Statistical Machine Translation from Farsi	Evgeny Matusov and Selçuk Köprü	https://aclanthology.org/www.mt-archive.info/10/AMTA-2010-Matusov.pdf		MT Research Program Papers: Oral and Poster Presentations
Chinese Syntactic Reordering through Contrastive Analysis of Predicate-predicate Patterns in Chinese-to-Korean SMT	Jin-Ji Li and Jungi Kim and Jong-Hyeok Lee	https://aclanthology.org/www.mt-archive.info/10/AMTA-2010-Li-2.pdf		MT Research Program Papers: Oral and Poster Presentations
Machine Translation Using Overlapping Alignments and SampleRank	Benjamin Roth and Andrew McCallum and Marc Dymetman and Nicola Cancedda	https://aclanthology.org/www.mt-archive.info/10/AMTA-2010-Roth.pdf		MT Research Program Papers: Oral and Poster Presentations
A Comparison of Various Types of Extended Lexicon Models for Statistical Machine Translation	Matthias Huck and Martin Ratajczak and Patrick Lehnen and Hermann Ney	https://aclanthology.org/www.mt-archive.info/10/AMTA-2010-Huck.pdf		MT Research Program Papers: Oral and Poster Presentations
A Discriminative Lexicon Model for Complex Morphology	Minwoo Jeong and Kristina Toutanova and Hisami Suzuki and Chris Quirk	https://aclanthology.org/www.mt-archive.info/10/AMTA-2010-Jeong.pdf		MT Research Program Papers: Oral and Poster Presentations
Voting on N-grams for Machine Translation System Combination	Kenneth Heafield and Alon Lavie	https://aclanthology.org/www.mt-archive.info/10/AMTA-2010-Heafield.pdf		MT Research Program Papers: Oral and Poster Presentations
Improved Statistical Machine Translation with Hybrid Phrasal Paraphrases Derived from Monolingual Text and a Shallow Lexical Resource	Yuval Marton	https://aclanthology.org/www.mt-archive.info/10/AMTA-2010-Marton.pdf		MT Research Program Papers: Oral and Poster Presentations
